"SIS ID","Name","workflow_state","parent_account_id","root_account_id","uuid","default_storage_quota_mb","default_user_storage_quota_mb","default_group_storage_quota_mb","default_time_zone"
"1","Worcester Polytechnic Institute","active","","","kwYfg31wBxrVjenz1JaMnqbMH9lZTAoQXBPYsd2e","1000","50","200","America/New_York"
"11","Systems Engineering","active","8","1","niDclLtyqnmSEhhpkZqFl5h2vErJRLZs0kmdkO1y","1000","50","200","America/New_York"
"12","Student Organizations","active","1","1","9aXUCdThASlakkgf3N7sigN5wCxwqJGKTiIsulhM","1000","50","200","America/New_York"
"13","Projects","active","1","1","LNrMnq1V9BAEauUZx4hB8Uls34YK2LrX3QE1NC9W","1000","50","200","America/New_York"
"19","Center for Project-Based Learning","active","1","1","hQvRV7660ZOHJQ5NBF7viqFDqrhhdO0QUrsC8usC","1000","50","200","America/New_York"
"2","Canvas Demo Courses","active","1","1","Or8hdNuJNKMQZpmU75nkkZsoUbCADI5Yqz9Kj1Tt","1000","50","200","America/New_York"
"3","Manually-Created Courses","active","1","1","EriNHwIm7R5rU6HQZUjyw9skH2SbVxDstqnoqfin","1000","50","200","America/New_York"
"52","New Gradebook","active","1","1","9v1Ffo25FIWwZXiA8fzaefNqfgZjN1RMDhsMgU0B","1000","50","200","America/New_York"
"6","Canvas Workshop","active","1","1","1hNJeSs6KdLf6I3hoPjylJwbfHM8p3isvSA63HoV","1000","50","200","America/New_York"
"7","Faculty Training","active","1","1","DUrkcgdqvxsSqhT0H1qOqdBqXIdypofvvAQVdzyW","1000","50","200","America/New_York"
"8","Corporate and Professional Education","active","1","1","3054HOkFfyVnqbqvKDy2hBymxk0SidQsbZzDIU4R","1000","50","200","America/New_York"
"9","Organizations","active","1","1","dB8HnE2CtbybNxolQe5B0pHgmyEnAaNVmums6NUQ","1000","50","200","America/New_York"
